STATUS,INPUT
T,Measuring sars-cov-2 neutralizing antibody activity using pseudotyped and chimeric viruses,
F,Measuring chs-cov-2 neutralizing antibody activity using pseudotyped and chimeric viruses,
F,Measuring aces-cov-2 neutralizing antibody activity using pseudotyped and chimeric viruses,
F,Measuring gps-cov-2 neutralizing antibody activity using pseudotyped and chimeric viruses,
T,Long-term persistence of igg antibodies in sars-cov infected healthcare workers,
F,short-term persistence of igg antibodies in sars-cov infected healthcare workers,
F,Low-term persistence of igg antibodies in sars-cov infected healthcare workers,
F,Pre-term persistence of igg antibodies in sars-cov infected healthcare workers,
T,Coronavirus dons a new crown,
F,Coronavirus dons a new question,
F,Coronavirus dons a new term,
T,Immune memory in mild covid-19 patients and unexposed donors from india reveals persistent t cell responses after sars-cov-2 infection,
F,Immune memory in mild covid-19 patients and unexposed donors from india reveals persistent t cell depletion after sars-cov-2 infection,
T,Simple probiotics might help inhibit covid-19 infection,
F,Simple probiotics might help cause covid-19 infection,
T,"Uk bans parallel export and hoarding of lopinavir+ritonavir , chloroquine and hydroxychloroquine",
F,"Uk bans parallel training and hoarding of lopinavir+ritonavir, chloroquine and hydroxychloroquine",
F,"Ukakes parallel export and hoarding of lopinavir+ritonavir, chloroquine and hydroxychloroquine",
F,"Ukolls parallel export and hoarding of lopinavir+ritonavir, chloroquine and hydroxychloroquine",
T,Air quality influences the pandemic - communiqués de presse,
F,Virus quality influences the pandemic - communiqués de presse,
F,Health quality influences the pandemic - communiqués de presse,
F,Global quality influences the pandemic - communiqués de presse,
T,Single-cell omics reveals dyssynchrony of the innate and adaptive immune system in progressive covid-19,
F,Single-brain omics reveals dyssynchrony of the innate and adaptive immune system in progressive covid-19,
T,Fenofibrate increases the amount of sulfatide which seems beneficial against covid-19,
F,Fenofibrate reduces the amount of sulfatide which seems beneficial against covid-19,
F,Fenofibrate reduced the amount of sulfatide which seems beneficial against covid-19,
F,Fenofibrate decreased the amount of sulfatide which seems beneficial against covid-19,
T,Gns561 exhibits potent in vitro antiviral activity against sars-cov-2 through autophagy inhibition,
F,Gns561 exhibits no in vitro antiviral activity against sars-cov-2 through autophagy inhibition,
T,Suspicions grow that nanoparticles in pfizer 's covid-19 vaccine trigger rare allergic reactions.,
F,Suspicions grow that nanoparticles in pfizer's covid-19 vaccine trigger systemic allergic reactions.,
T,Berberine and obatoclax inhibit sars-cov-2 replication in primary human nasal epithelial cells in vitro.,
F,Berberine and obatoclax induce sars-cov-2 replication in primary human nasal epithelial cells in vitro.,
F,Berberine and obatoclax induced sars-cov-2 replication in primary human nasal epithelial cells in vitro.,
F,Berberine and obatoclax are sars-cov-2 replication in primary human nasal epithelial cells in vitro.,
T,Taiwan completes synthesis of potential covid-19 drug,
F,Taiwan inhibits synthesis of potential covid-19 drug,
F,Taiwan requires synthesis of potential covid-19 drug,
T,25-hydroxyvitamin d concentrations are lower in patients with positive pcr for sars-cov-2,
F,25-hydroxyvitamin d concentrations are elevated in patients with positive pcr for sars-cov-2,
F,25-hydroxyvitamin d concentrations are increased in patients with positive pcr for sars-cov-2,
F,25-hydroxyvitamin d concentrations are higher in patients with positive pcr for sars-cov-2,
T,Us racial inequality may be as deadly as covid-19,
F,Us racial inequality may be as useful as covid-19,
F,Us racial inequality may be as effective as covid-19,
F,Us racial transmission may be as deadly as covid-19,
T,Immunity to covid-19 is probably higher than tests have shown,
F,Immunity to covid-19 is probably less than tests have shown,
F,Immunity to covid-19 is probably lower than tests have shown,
F,Immunity to covid-19 is probably smaller than tests have shown,
T,A novel in-cell elisa assay allows rapid and automated quantification of sars-cov-2 to analyze neutralizing antibodies and antiviral compounds,
F,A standard in-cell elisa assay allows rapid and automated quantification of sars-cov-2 to analyze neutralizing antibodies and antiviral compounds,
F,A conventional in-cell elisa assay allows rapid and automated quantification of sars-cov-2 to analyze neutralizing antibodies and antiviral compounds,
F,A simple in-cell elisa assay allows rapid and automated quantification of sars-cov-2 to analyze neutralizing antibodies and antiviral compounds,
T,Stanford professor balaji s. srinivasan 's peer review of the santa clara seroprevalence study indicates that its high reported positive rate results may be explained by the false positive rate of the test and/or by sample recruitment issues .,
F,Stanford professor balaji s. srinivasan's peer review of the santa clara seroprevalence study indicates that its high reported positive rate results cannot be explained by the false positive rate of the test and/or by sample recruitment issues.,
T,Fda takes key action in fight against covid-19 by issuing emergency use authorization for first covid-19 vaccine,
F,Sars takes key action in fight against covid-19 by issuing emergency use authorization for first covid-19 vaccine,
F,China takes key action in fight against covid-19 by issuing emergency use authorization for first covid-19 vaccine,
F,Who takes key action in fight against covid-19 by issuing emergency use authorization for first covid-19 vaccine,
T,Sherlock biosciences receives fda emergency use authorization for crispr sars-cov-2 rapid diagnostic,
F,Sherlock biosciences receives no emergency use authorization for crispr sars-cov-2 rapid diagnostic,
T,Lipoic acid helps response in g6pd population,
F,Lipoic acid helps degradation in g6pd population,
F,Lipoic acid stress response in g6pd population,
T,Sars-cov-2 in-vitro neutralization assay reveals inhibition of virus entry by iota-carrageenan,
F,Sars-cov-2 in-vitro neutralization assay blocked inhibition of virus entry by iota-carrageenan,
F,Sars-cov-2 in-vitro neutralization assay reveals induction of virus entry by iota-carrageenan,
F,Sars-cov-2 in-vitro neutralization assay reveals enhancement of virus entry by iota-carrageenan,
T,"Two thirds of people contacted through tracing did not fully cooperate , pilot scheme finds",
F,"Two thirds of people contacted through tracing did indeed fully cooperate, pilot scheme finds",
F,"Two thirds of people contacted through tracing did it fully cooperate, pilot scheme finds",
F,"Two thirds of people contacted through tracing did still fully cooperate, pilot scheme finds",
T,The inhaled corticosteroid ciclesonide blocks coronavirus rna replication by targeting viral nsp15,
F,The inhaled corticosteroid ciclesonide support coronavirus rna replication by targeting viral nsp15,
T,The us doesnt have enough hospital beds for a bad coronavirus outbreak,
F,The usset have enough hospital beds for a bad coronavirus outbreak,
F,The usert have enough hospital beds for a bad coronavirus outbreak,
T,Oncogen researchers propose personalized vaccinomics strategy for the novel china coronavirus,
F,Oncogen researchers propose personalized vaccinomics strategy for the traditional china coronavirus,
T,Mathematical analysis of córdoba calcifediol trial suggests strong role for vitamin d in reducing icu admissions of hospitalized covid-19 patients,
F,Mathematical analysis of córdoba calcifediol trial suggests strong role against vitamin d in reducing icu admissions of hospitalized covid-19 patients,
T,Artificial intelligence model detects asymptomatic covid-19 infections through cellphone-recorded coughs,
F,Artificial intelligence model cannots asymptomatic covid-19 infections through cellphone-recorded coughs,
T,"Stanford researchers test 3,200 people for covid-19 antibodies",
F,"Stanford researchers test 3,6 people for covid-19 antibodies",
F,"Stanford researchers test 3,5 people for covid-19 antibodies",
F,"Stanford researchers test 3,3 people for covid-19 antibodies",
T,State lab finds 90 positive covid-19 test results were false,
F,State lab finds 90 positive covid-19 test results were+.,
T,Different mutations in sars-cov-2 associate with severe and mild outcome,
F,Different mutations in sars-cov-2 associate against severe and mild outcome,
F,Both mutations in sars-cov-2 associate with severe and mild outcome,
T,Moderna advances late-stage development of its vaccine against covid-19,
F,Moderna advances late-stage delivery of its vaccine against covid-19,
T,Mathematical modeling explains differential sars cov-2 kinetics in lung and nasal passages in remdesivir treated rhesus macaques,
F,Phylogenetic modeling explains differential sars cov-2 kinetics in lung and nasal passages in remdesivir treated rhesus macaques,
F,Mathematical depletion explains differential sars cov-2 kinetics in lung and nasal passages in remdesivir treated rhesus macaques,
T,"Singapore , taiwan and hong kong have brought outbreaks under control",
F,"Singapore, taiwan and hong kong have no outbreaks under control",
T,Fda gives eua to saliva-based test kit,
F,Pcr gives eua to saliva-based test kit,
F,Data gives eua to saliva-based test kit,
F,Table gives eua to saliva-based test kit,
T,Seasonal human coronavirus antibodies are boosted upon sars-cov-2 infection but not associated with protection,
F,Seasonal human coronavirus antibodies are boosted upon sars-cov-2 infection but also associated with protection,
F,Seasonal human coronavirus antibodies are boosted upon sars-cov-2 infection but are associated with protection,
F,Seasonal human coronavirus antibodies are boosted upon sars-cov-2 infection but strongly associated with protection,
T,Preliminary results of nationwide representative screening are out,
F,Preliminary results of nationwide representative screening are!,
F,Preliminary results of nationwide representative screening are?,
F,"Preliminary results of nationwide representative screening are"".",
T,New self-administered coronavirus test found effective,
F,No self-administered coronavirus test found effective,
T,Electrostatic spraying will prevent the spread of covid-19,
F,Electrostatic spraying will facilitate the spread of covid-19,
F,Electrostatic spraying will enhance the spread of covid-19,
F,Electrostatic spraying will promote the spread of covid-19,
T,Scientists trace severe covid-19 to faulty genes and autoimmune condition,
F,Mice trace severe covid-19 to faulty genes and autoimmune condition,
T,Uv-emitting led lights found to kill coronavirus efficiently and cheaply.,
F,Uv-emitting bat lights found to kill coronavirus efficiently and cheaply.,
T,Hydroxychloroquine safety outcome within approved therapeutic protocol for covid-19 outpatients in saudi arabia,
F,Hydroxychloroquine safety outcome within approved therapeutic protocol of covid-19 outpatients in saudi arabia,
F,Hydroxychloroquine safety outcome within approved therapeutic protocol included covid-19 outpatients in saudi arabia,
F,Hydroxychloroquine safety outcome within approved therapeutic protocol is covid-19 outpatients in saudi arabia,
T,Covid-19 coronavirus spike holds infectivity details,
F,Covid-19 coronavirus genomes holds infectivity details,
T,We had the covid-19 vaccine the whole time,
F,We had the covid-19 vaccine the next time,
F,We had the covid-19 vaccine the following time,
F,We had the covid-19 vaccine the second time,
T,Quantitative assays reveal cell fusion at minimal levels of sars-cov-2 spike protein and fusion-from-without,
F,Quantitative assays reveal no fusion at minimal levels of sars-cov-2 spike protein and fusion-from-without,
T,Weekly national flu and covid-19 surveillance reports published,
F,Weekly national flu and covid-19 pandemic reports published,
F,Weekly national flu and covid-19 epidemic reports published,
F,Weekly national flu and covid-19 infection reports published,
T,Coronavirus endoribonuclease targets viral polyuridine sequences to evade activating host sensors,
F,Coronavirus endoribonuclease targets viral polyuridine sequences to evade activating host defense,
T,The spike glycoprotein of the new coronavirus 2019-ncov contains a furin-like cleavage site absent in cov of the same clade .,
F,The spike glycoprotein of the new coronavirus a-ncov contains a furin-like cleavage site absent in cov of the same clade.,
F,The spike glycoprotein of the new coronavirus s-ncov contains a furin-like cleavage site absent in cov of the same clade.,
F,The spike glycoprotein of the new coronavirus e-ncov contains a furin-like cleavage site absent in cov of the same clade.,
T,Breakthrough covid-19 antibody test with nearly 100 % accuracy can help reopen economy,
F,Breakthrough covid-19 antibody test with nearly 100 % accuracy cannot help reopen economy,
T,Pyridoxal 5'-phosphate to mitigate immune dysregulation and coagulopathy in covid-19,
F,Pyridoxal 5'- inability to mitigate immune dysregulation and coagulopathy in covid-19,
F,Pyridoxal 5'-phosphate to mitigate cardiac dysregulation and coagulopathy in covid-19,
F,Pyridoxal 5'-c to mitigate immune dysregulation and coagulopathy in covid-19,
T,Antibodies in infants born to mothers with covid-19 pneumonia,
F,Antibodies in women born to mothers with covid-19 pneumonia,
F,Mortality in infants born to mothers with covid-19 pneumonia,
T,Aggregated mobility data could help fight covid-19,
F,Aggregated mobility data could not fight covid-19,
F,Aggregated mobility data could help generate covid-19,
F,Aggregated mobility data could help study covid-19,
T,"Preliminary evidence that higher temperatures are associated with lower incidence of covid-19 , for cases reported globally up to 29th february 2020",
F,"Preliminary evidence that lower temperatures are associated with lower incidence of covid-19, for cases reported globally up to 29th february 2020",
F,"Preliminary evidence that low temperatures are associated with lower incidence of covid-19, for cases reported globally up to 29th february 2020",
T,The fda weighs its first coronavirus vaccine,
F,The fda weighs its new coronavirus vaccine,
F,The fda weighs its sars coronavirus vaccine,
T,High incidence of venous thromboembolic events in anticoagulated severe covid-19 patients,
F,Low incidence of venous thromboembolic events in anticoagulated severe covid-19 patients,
F,Median incidence of venous thromboembolic events in anticoagulated severe covid-19 patients,
F,Average incidence of venous thromboembolic events in anticoagulated severe covid-19 patients,
T,Epa proposes broad science restrictions in midst of coronavirus pandemic,
F,Epa proposes broad science support in midst of coronavirus pandemic,
F,Cdc proposes broad science restrictions in midst of coronavirus pandemic,
F,Who proposes broad science restrictions in midst of coronavirus pandemic,
T,Moderna provides covid-19 vaccine supply update.,
F,Cdca provides covid-19 vaccine supply update.,
F,Wa provides covid-19 vaccine supply update.,
T,Engineered ace2 receptor traps potently neutralize sars-cov-2,
F,Engineered ace2 receptor cannot potently neutralize sars-cov-2,
F,Recombinant ace2 receptor traps potently neutralize sars-cov-2,
T,Professional and home-made face masks reduce exposure to respiratory infections among the general population,
T,Genomic epidemiology of a densely sampled covid19 outbreak in china,
F,Genomic epidemiology of a randomly sampled covid19 outbreak in china,
T,"Large sars-cov-2 outbreak caused by asymptomatic traveler , china",
F,"One sars-cov-2 outbreak caused by asymptomatic traveler, china",
T,More than 80 clinical trials launch to test coronavirus treatments,
F,less than 80 clinical trials launch to test coronavirus treatments,
F,fewer than 80 clinical trials launch to test coronavirus treatments,
F,younger than 80 clinical trials launch to test coronavirus treatments,
T,Ferritin nanoparticle based sars-cov-2 rbd vaccine induces persistent antibody response and long-term memory in mice.,
F,Ferritin nanoparticle based sars-cov-2 rbd vaccine induces persistent antibody response and long-term memory in humans.,
F,Ferritin nanoparticle based sars-cov-2 rbd vaccine induces persistent antibody response and long-term memory in rabbits.,
F,Ferritin nanoparticle based sars-cov-2 rbd vaccine cans persistent antibody response and long-term memory in mice.,
T,Hydroxychloroquine fails to prevent covid-19,
F,Hydroxychloroquine remains to prevent covid-19,
F,Hydroxychloroquine appears to prevent covid-19,
F,Hydroxychloroquine is to prevent covid-19,
T,Transmission of sars-cov-2 in domestic cats imposes a narrow bottleneck.,
F,Transmission of sars-cov-2 in domestic cats imposes a global bottleneck.,
F,Transmission of sars-cov-2 in domestic cats imposes a major bottleneck.,
F,Transmission of sars-cov-2 in domestic cats imposes a common bottleneck.,
T,California state epidemiologist statement recommending providers pause administration of single lot of moderna covid-19 vaccine.,
F,California state epidemiologist statement recommending providers include administration of single lot of moderna covid-19 vaccine.,
T,Baricitinib restrains the immune dysregulation in covid-19 patients,
F,Uncitinib restrains the immune dysregulation in covid-19 patients,
F,Excitinib restrains the immune dysregulation in covid-19 patients,
T,Us covid-19 deaths poorly predicted by ihme model,
F,Us covid-19 deaths as predicted by ihme model,
F,Us covid-19 deaths previously predicted by ihme model,
F,Us covid-19 deaths were predicted by ihme model,
T,"China 's changing coronavirus case count is not unusual in an outbreak , health official says",
F,"China's changing coronavirus case count is not available in an outbreak, health official says",
F,"China's changing coronavirus case count is very unusual in an outbreak, health official says",
F,"China's changing coronavirus case count is particularly unusual in an outbreak, health official says",
T,Results released for antibody and covid-19 testing of boston residents,
F,Results released for antibody and covid-19 production of boston residents,
T,"Vulnerable populations , such as older adults and those with underlying medical conditions , should wear face masks if available .",
F,"Vulnerable populations, such as older adults and those with underlying medical conditions, not wear face masks if available.",
T,"The differing immune system responses of patients with covid-19 can help predict who will experience moderate and severe consequences of disease , according to a new study",
F,"The differing immune system responses of patients with covid-19 cannot help predict who will experience moderate and severe consequences of disease, according to a new study",
F,"The differing immune system responses of patients with covid-19 can help predict who will experience moderate and severe consequences of disease, according to a previous study",
T,Father with motor neurone disease dies from coronavirus in uk,
F,Father with motor neurone disease originated from coronavirus in uk,
F,Father with motor neurone disease differs from coronavirus in uk,
T,Yale 's rapid covid-19 saliva test receives fda emergency use authorization,
F,Yale's rapid covid-19 saliva test without fda emergency use authorization,
